,name,time,perc
0,moooomoooo,81682.15391666682,1.0357221828143195
1,ElodinA,33997.911633333344,0.4310903858378721
2,Neroga,30763.216383333365,0.3900747482178474
3,Fetopia,27921.535600000043,0.35404249781002667
4,DarthBroccoli,24455.59353333331,0.31009467186926665
5,Fobba,24179.474333333284,0.30659350586386563
6,mangadaisuki,22663.551199999984,0.287371740259637
7,The_Penguin,21914.05086666666,0.27786814511629626
8,Infinite_Rage,18922.212816666688,0.23993191440751432
9,Mr_Randomuser,18801.150783333338,0.23839685898343874
10,BiGgweeb,18751.008966666664,0.23776106536980232
11,FilthyCasual268,16865.0013,0.21384666199452648
12,Temantor,16615.79411666668,0.21068673787991116
13,Raisin_Dan,16609.740233333298,0.2106099751972455
14,Kisharra98,16046.578633333345,0.20346913801726338
15,Vulporium,15531.417899999993,0.19693694740225345
16,Kim_Jong_Nig,15517.90238333333,0.1967655718966793
17,CerebralMayhem,14887.456349999993,0.18877157430380484
18,DeceiverSquad,14218.448799999984,0.1802886202339087
19,BlackAsNight,13881.143250000001,0.17601161695020756
20,PoolCoder,13694.101666666676,0.1736399469136329
21,lightDreaming,13538.99005000001,0.17167314591132637
22,ChillyDogs,13491.666583333315,0.1710730887159153
23,DaKIng45,13115.040833333342,0.16629750892045575
24,dragonrider17,13064.051800000001,0.16565097267757609
25,Treewalker2,12886.201666666655,0.16339584937980217
26,BentsiW,12706.099049999993,0.16111216480097884
27,ZxFireBoxZx,12668.62198333333,0.16063695905000078
28,BigWillyBilly666,12609.565333333316,0.15988812617140016
29,0xify,12495.038916666637,0.1584359417642538
30,jack93885,12456.291083333328,0.15794462280907243
31,FireHawk92,12389.142850000004,0.15709318939962696
32,SmashyMC,12348.553383333347,0.1565785187035267
33,SunBraxel,12316.902583333338,0.15617718947686024
34,Relbu,12261.326716666646,0.1554724926100936
35,Slendeer_Games,12238.538833333321,0.15518354434984344
36,KP0C,12098.18253333335,0.15340383940283606
37,1islessthan2,11897.06366666665,0.1508536707111327
38,Ryern904,11731.852433333335,0.14875880750040005
