Killer,Num,Perc,want
,69.0,0.12429968835005675,Malworthy
,68.0,0.12249824359136026,AKing_05
,68.0,0.12249824359136026,Crazy_Ninja_Kid
,67.0,0.12069679883266379,ItsGoingGood
,66.0,0.11889535407396733,unkelcheez
,65.0,0.11709390931527083,The4b4tPolice
,65.0,0.11709390931527083,pandazle
,64.0,0.11529246455657437,Escrit
,64.0,0.11529246455657437,St0rmCr0w316
,63.0,0.1134910197978779,vYqURTroC7
,63.0,0.1134910197978779,DefaulTMC
,63.0,0.1134910197978779,TAEFED
,62.0,0.11168957503918141,ARZI1
,62.0,0.11168957503918141,Kim_Jong_Nig
,61.0,0.10988813028048494,_Tari
,60.0,0.10808668552178848,QuickOpinion
,58.0,0.10448379600439552,UvaUrsi
,58.0,0.10448379600439552,Colbenstein
,57.0,0.10268235124569905,iMG00D
,57.0,0.10268235124569905,Bubba146
,57.0,0.10268235124569905,buildinthehills
,56.0,0.10088090648700258,_Majora_
,56.0,0.10088090648700258,Guag
,56.0,0.10088090648700258,ladytorrens
,55.0,0.09907946172830609,DeceiverSquad
,55.0,0.09907946172830609,Pluthorium
,55.0,0.09907946172830609,gyokuro
,55.0,0.09907946172830609,DragonFlames10
,54.0,0.09727801696960962,_Stichez_
,54.0,0.09727801696960962,AV0CAT
,54.0,0.09727801696960962,Pugyovv
,52.0,0.09367512745221668,Taqhesiquan
,52.0,0.09367512745221668,fakelags
,52.0,0.09367512745221668,REDSTONEboots
,51.0,0.0918736826935202,Aquaticur
,51.0,0.0918736826935202,Temantor
,50.0,0.09007223793482372,ZxFireBoxZx
,50.0,0.09007223793482372,39Y
,49.0,0.08827079317612725,Animewaffle
,49.0,0.08827079317612725,EPIC_GAMES
,48.0,0.08646934841743077,Nicketic
,48.0,0.08646934841743077,Silau86
,46.0,0.08286645890003783,2603semko
,46.0,0.08286645890003783,RTE1
,46.0,0.08286645890003783,DAVE1ST1
,45.0,0.08106501414134135,ViralSun
,45.0,0.08106501414134135,Melisksks
,45.0,0.08106501414134135,D47
,44.0,0.07926356938264488,Goujon_
,44.0,0.07926356938264488,_Physalis_
,44.0,0.07926356938264488,AwkwardPotLag
,44.0,0.07926356938264488,MaccazBra01
,44.0,0.07926356938264488,Drop_JPG
,44.0,0.07926356938264488,realdeep
,43.0,0.0774621246239484,ConfusedPanda_
,43.0,0.0774621246239484,Rac00nzz
,42.0,0.07566067986525193,starowesky
,42.0,0.07566067986525193,BlockBuster2k170
,42.0,0.07566067986525193,Allu71
,42.0,0.07566067986525193,ConciseBlock
,41.0,0.07385923510655545,loafingbun
,41.0,0.07385923510655545,PearsWithGluten
,41.0,0.07385923510655545,7Andrei
,40.0,0.07205779034785899,1islessthan2
,40.0,0.07205779034785899,KINGLYz
,40.0,0.07205779034785899,ScarletSinon
,39.0,0.07025634558916251,aidanforest
,39.0,0.07025634558916251,FIonder
,39.0,0.07025634558916251,Finvi
,39.0,0.07025634558916251,ElodinA
,39.0,0.07025634558916251,3233
,38.0,0.06845490083046604,kaimir
,38.0,0.06845490083046604,Tin___Can
,38.0,0.06845490083046604,mmuuli
,38.0,0.06845490083046604,EyepAddress
,38.0,0.06845490083046604,rasch4
,38.0,0.06845490083046604,ghi5
,37.0,0.06665345607176956,toxicgamer39
,37.0,0.06665345607176956,Sandy_08
,37.0,0.06665345607176956,Radik202
,37.0,0.06665345607176956,stringcheeese
,37.0,0.06665345607176956,MrToffeePancake
,37.0,0.06665345607176956,epicjbug
,37.0,0.06665345607176956,levipowerr
,37.0,0.06665345607176956,CowardlyElf
,36.0,0.06485201131307308,SalHackC1
,36.0,0.06485201131307308,RoomyGruffalo
,36.0,0.06485201131307308,Ayymoss
,36.0,0.06485201131307308,JarOfMana
,36.0,0.06485201131307308,Superlooma
,36.0,0.06485201131307308,Dipsmack
,35.0,0.06305056655437662,Sirr0m
,35.0,0.06305056655437662,ItsConnorGL
,35.0,0.06305056655437662,Idkp
,35.0,0.06305056655437662,PapaKappa
,35.0,0.06305056655437662,_Cedar
,35.0,0.06305056655437662,Gamerkav
,35.0,0.06305056655437662,RoachClip
,35.0,0.06305056655437662,Jalapeno690
,34.0,0.06124912179568013,Sumu951
,34.0,0.06124912179568013,CyberMemes
,34.0,0.06124912179568013,n1ggerlover
,33.0,0.059447677036983664,Adolf_Hitler_Jew
,33.0,0.059447677036983664,P3TR0
,33.0,0.059447677036983664,D2ve
,32.0,0.057646232278287184,PFCalixa
,32.0,0.057646232278287184,B0ris_Johns0n
,31.0,0.055844787519590704,josemari676
,31.0,0.055844787519590704,GenderPretender
,31.0,0.055844787519590704,ghasty80
,31.0,0.055844787519590704,babyboynezev
,30.0,0.05404334276089424,Ikratta
,30.0,0.05404334276089424,SomeNobody0
,30.0,0.05404334276089424,TheDarkDorito
,30.0,0.05404334276089424,FryRocko
,30.0,0.05404334276089424,Xqzc
,30.0,0.05404334276089424,FallsGreen
,29.0,0.05224189800219776,The_Heavy
,29.0,0.05224189800219776,Lerks
,29.0,0.05224189800219776,detour64
,29.0,0.05224189800219776,Yellow_Jam
,29.0,0.05224189800219776,DoubleSpexon
,29.0,0.05224189800219776,MinimiKeksi
,29.0,0.05224189800219776,MasterFuega
,29.0,0.05224189800219776,Adelf_Tiller
,29.0,0.05224189800219776,IsseiL
,29.0,0.05224189800219776,jpie726
,29.0,0.05224189800219776,YaBoiH3LIXV2
,28.0,0.05044045324350129,top_kek
,28.0,0.05044045324350129,SoundWave1212
,28.0,0.05044045324350129,buruccum51
,28.0,0.05044045324350129,John_Bungie
,28.0,0.05044045324350129,FreakyThought
,28.0,0.05044045324350129,Bellabong5
,28.0,0.05044045324350129,SoySauceIsNice
,27.0,0.04863900848480481,royalguardian138
,27.0,0.04863900848480481,Dacaly
,27.0,0.04863900848480481,Tertann
,27.0,0.04863900848480481,PikaGirl05
,27.0,0.04863900848480481,MacsModz
,27.0,0.04863900848480481,New3dge
,26.0,0.04683756372610834,unbound__
,26.0,0.04683756372610834,Dubst3p_WrEcKyZz
,26.0,0.04683756372610834,BlackRainbow734
,26.0,0.04683756372610834,DrainSnake
,26.0,0.04683756372610834,poop_tickler_jr
,26.0,0.04683756372610834,Hamoos2051
,26.0,0.04683756372610834,TheRealDillyBalt
,25.0,0.04503611896741186,horrid57
,25.0,0.04503611896741186,Treewalker2
,25.0,0.04503611896741186,That_Eboy
,25.0,0.04503611896741186,Za_Zed
,25.0,0.04503611896741186,Millo_
,25.0,0.04503611896741186,mizuki0411
,25.0,0.04503611896741186,Enity_606
,25.0,0.04503611896741186,pl3
,24.0,0.043234674208715386,LeDrago27
,24.0,0.043234674208715386,dinosaurwizard
,24.0,0.043234674208715386,Tjga
,24.0,0.043234674208715386,Caynckle
,24.0,0.043234674208715386,SixGorillion
,24.0,0.043234674208715386,gamer58147
,23.0,0.04143322945001891,PagoTheRandy
,23.0,0.04143322945001891,drewthebeast35
,23.0,0.04143322945001891,Amin0Acid
,23.0,0.04143322945001891,Jorgos70
,23.0,0.04143322945001891,coyoteman34
,23.0,0.04143322945001891,Alabamasandwich
,23.0,0.04143322945001891,WarPhoenix2468
,23.0,0.04143322945001891,PyroHuman
,23.0,0.04143322945001891,coopseal
,23.0,0.04143322945001891,CaptainJam
,22.0,0.03963178469132244,SapphireWolfie
,22.0,0.03963178469132244,DodoDavid11
,22.0,0.03963178469132244,Dreexz
,22.0,0.03963178469132244,ForeverBadinek
,22.0,0.03963178469132244,BuddieGamer002
,22.0,0.03963178469132244,Hanspeter007x
,22.0,0.03963178469132244,riifless
,22.0,0.03963178469132244,x8h
,22.0,0.03963178469132244,Wexin
,22.0,0.03963178469132244,Budha4CZ
,22.0,0.03963178469132244,Ammmmd1
,22.0,0.03963178469132244,pusssybaconn
,22.0,0.03963178469132244,Peanut_Kearns
,22.0,0.03963178469132244,brokenpocket338
,22.0,0.03963178469132244,TriceratopsD
,22.0,0.03963178469132244,MarkusVLA
,22.0,0.03963178469132244,log710
,22.0,0.03963178469132244,WomenAreObjects
,21.0,0.03783033993262597,GioGio15
,21.0,0.03783033993262597,redneckSNIPER60
,21.0,0.03783033993262597,Crimson5266
,21.0,0.03783033993262597,cozmoetic
,21.0,0.03783033993262597,JakethasnakesALT
,21.0,0.03783033993262597,DuranGan
,21.0,0.03783033993262597,idqn
,21.0,0.03783033993262597,Sellcatforwifi
,21.0,0.03783033993262597,upkaz
,21.0,0.03783033993262597,MaitreChibrasse
,21.0,0.03783033993262597,Jvlivs_Kaesar
,21.0,0.03783033993262597,pigarms
,21.0,0.03783033993262597,SeppEisi
,21.0,0.03783033993262597,manu2107el
,21.0,0.03783033993262597,Warpeer
,21.0,0.03783033993262597,Puppy_Rage
,21.0,0.03783033993262597,BOMBIRIBOM
,21.0,0.03783033993262597,nullPointerDotJS
,21.0,0.03783033993262597,Carlovich_
,20.0,0.036028895173929494,Trapppie
,20.0,0.036028895173929494,skythekidrs59
,20.0,0.036028895173929494,PixelatedBrayden
,20.0,0.036028895173929494,0rthrus
,20.0,0.036028895173929494,Jyirdo
,20.0,0.036028895173929494,JakeMyBestFriend
,20.0,0.036028895173929494,Ethoon
,20.0,0.036028895173929494,sTapL
,20.0,0.036028895173929494,CoolGuy5785
,20.0,0.036028895173929494,Lev_Myskin
,20.0,0.036028895173929494,Clarence_iss
,20.0,0.036028895173929494,PheonixSC
,20.0,0.036028895173929494,SandyMander
,20.0,0.036028895173929494,TheBeastOFNight
,20.0,0.036028895173929494,Delta__Machine
,19.0,0.03422745041523302,SolemnStag
,19.0,0.03422745041523302,LucidLullabye
,19.0,0.03422745041523302,The_chose_n_one
,19.0,0.03422745041523302,epic_bush_1
,19.0,0.03422745041523302,rocky6410
,19.0,0.03422745041523302,DeadKurtCobain
,19.0,0.03422745041523302,007Keys
,19.0,0.03422745041523302,Lecan
,19.0,0.03422745041523302,_VOJTA_
,19.0,0.03422745041523302,Happy_SkeppyRS
,18.0,0.03242600565653654,Christian6001
,18.0,0.03242600565653654,limbolegs
,18.0,0.03242600565653654,Gayface123_2k19
,18.0,0.03242600565653654,ArnesNutboy
,18.0,0.03242600565653654,Cakeilsi3
,18.0,0.03242600565653654,njskill
,18.0,0.03242600565653654,skorth
,18.0,0.03242600565653654,73_
,18.0,0.03242600565653654,LvSyncLv
,18.0,0.03242600565653654,lavablade02
,18.0,0.03242600565653654,Sticks23
,18.0,0.03242600565653654,iron_ripper4
,18.0,0.03242600565653654,akaron
,18.0,0.03242600565653654,Melonen_Saft
,17.0,0.030624560897840065,Nullcore_Money
,17.0,0.030624560897840065,AragornTheMaster
,17.0,0.030624560897840065,Der_Gian
,17.0,0.030624560897840065,RealSaltop
,17.0,0.030624560897840065,MoaFiuccia
,17.0,0.030624560897840065,SoulHeartRealm
,17.0,0.030624560897840065,Artem10261
,17.0,0.030624560897840065,mcrcortex
,17.0,0.030624560897840065,Ninnbot
,17.0,0.030624560897840065,WinchesterRifle
,17.0,0.030624560897840065,INNOCENTCHILD001
,17.0,0.030624560897840065,Zayd1no
,17.0,0.030624560897840065,welshx7
,17.0,0.030624560897840065,3water
,17.0,0.030624560897840065,J3Rz0
,17.0,0.030624560897840065,Deze_Sem
,17.0,0.030624560897840065,prettyfreaky
,17.0,0.030624560897840065,zTiewDusNews
,16.0,0.028823116139143592,howEZis2EZ
,16.0,0.028823116139143592,Zoiin
,16.0,0.028823116139143592,KingGlac
,16.0,0.028823116139143592,FilthyCasual268
,16.0,0.028823116139143592,FlameHerobrin
,16.0,0.028823116139143592,LilPeepy
,16.0,0.028823116139143592,MajorTZDMS
,16.0,0.028823116139143592,Kirino_
,16.0,0.028823116139143592,Shulker_Box_Give
,16.0,0.028823116139143592,Kath4rSis
,16.0,0.028823116139143592,bad_robin_1
,16.0,0.028823116139143592,jenson2956
,16.0,0.028823116139143592,ItsPigeons
,16.0,0.028823116139143592,EliteCrystal
,16.0,0.028823116139143592,Gruigi__
,16.0,0.028823116139143592,snipperking007
,16.0,0.028823116139143592,loffe76
,16.0,0.028823116139143592,CaspergamezYT
,16.0,0.028823116139143592,mygodiamawesome
,16.0,0.028823116139143592,BLAINROO556
,16.0,0.028823116139143592,hyndical
,16.0,0.028823116139143592,jhmiramon
,16.0,0.028823116139143592,MrMagoo109
,16.0,0.028823116139143592,beastlypowers165
,16.0,0.028823116139143592,Sythodom
,15.0,0.02702167138044712,kinglyzalt3
,15.0,0.02702167138044712,YesVeryShortName
,15.0,0.02702167138044712,Frami0210
,15.0,0.02702167138044712,Kim_Jong_Nigg
,15.0,0.02702167138044712,Envez
,15.0,0.02702167138044712,Slimrald_King
,15.0,0.02702167138044712,sivert505
,15.0,0.02702167138044712,Cheesylol69
,15.0,0.02702167138044712,cookqie
,15.0,0.02702167138044712,HazzaGilberto
,15.0,0.02702167138044712,Nicka12
,15.0,0.02702167138044712,SonnyIsMario
,15.0,0.02702167138044712,Nalianic
,15.0,0.02702167138044712,ThirstyTeen
,15.0,0.02702167138044712,Wxbbs
,15.0,0.02702167138044712,Jakethasnake52
,15.0,0.02702167138044712,i8B
,15.0,0.02702167138044712,Avustaja
,15.0,0.02702167138044712,trehu
,14.0,0.025220226621750646,NBNT
,14.0,0.025220226621750646,NykroCheese
,14.0,0.025220226621750646,Shawneeboi
,14.0,0.025220226621750646,Hatotach
,14.0,0.025220226621750646,christonFTW
,14.0,0.025220226621750646,chemist3
,14.0,0.025220226621750646,blacko123457
,14.0,0.025220226621750646,DaveyWavey10
,14.0,0.025220226621750646,LuckysZero
,14.0,0.025220226621750646,Joshua__lol
,14.0,0.025220226621750646,ScartTheOne
,14.0,0.025220226621750646,EdenIndeed
,14.0,0.025220226621750646,LukeBuck
,14.0,0.025220226621750646,EnderHir_
,14.0,0.025220226621750646,Battino
,14.0,0.025220226621750646,Harpsichord37
,14.0,0.025220226621750646,Theophan
,14.0,0.025220226621750646,Furioustoad
,14.0,0.025220226621750646,r333mo
,14.0,0.025220226621750646,Amrit1
,14.0,0.025220226621750646,kymlaarmc
,14.0,0.025220226621750646,Skiry
,14.0,0.025220226621750646,dragonskull8
,13.0,0.02341878186305417,rex1122
,13.0,0.02341878186305417,PRThomas
,13.0,0.02341878186305417,Infinite_Rage
,13.0,0.02341878186305417,moosheking
,13.0,0.02341878186305417,NOON3R
,13.0,0.02341878186305417,HexateII
,13.0,0.02341878186305417,Ginh
,13.0,0.02341878186305417,Gambanera
,13.0,0.02341878186305417,Sank34
,13.0,0.02341878186305417,FireHawk92
,13.0,0.02341878186305417,Spryc1
,13.0,0.02341878186305417,gaums
,13.0,0.02341878186305417,Gordon_Ramsaay
,13.0,0.02341878186305417,DVRKIE
,13.0,0.02341878186305417,StopLiving
,13.0,0.02341878186305417,RonikJ
,13.0,0.02341878186305417,IroYoshi
,13.0,0.02341878186305417,Kiddoooo
,13.0,0.02341878186305417,_Inure
,13.0,0.02341878186305417,AdamRayenAnas
,13.0,0.02341878186305417,Workroom
,13.0,0.02341878186305417,Mighty_Worm
,13.0,0.02341878186305417,Sub2CactusLife
,13.0,0.02341878186305417,wjec
,13.0,0.02341878186305417,Fraesshair
,13.0,0.02341878186305417,Carlbanan56
,13.0,0.02341878186305417,Devylux
,13.0,0.02341878186305417,Garnmaxkill77
,13.0,0.02341878186305417,garfunqle
,13.0,0.02341878186305417,J9A
,13.0,0.02341878186305417,ProVicio
,13.0,0.02341878186305417,Tsuro
,13.0,0.02341878186305417,Twig_Drawter
,13.0,0.02341878186305417,ieatpaintttt
,13.0,0.02341878186305417,DISTXRTIXN
,13.0,0.02341878186305417,YottaYT
,13.0,0.02341878186305417,Rynav
,13.0,0.02341878186305417,EchoKeks
,13.0,0.02341878186305417,Hunted
,12.0,0.021617337104357693,xpitipitx
,12.0,0.021617337104357693,xviberx
,12.0,0.021617337104357693,TheProfessor190
,12.0,0.021617337104357693,Homiebrine
,12.0,0.021617337104357693,OrganicH2O
,12.0,0.021617337104357693,mcff
,12.0,0.021617337104357693,GiollyJoestar
,12.0,0.021617337104357693,Skulls32
,12.0,0.021617337104357693,33333333333335
,12.0,0.021617337104357693,Djf211
,12.0,0.021617337104357693,Oliver5078
,12.0,0.021617337104357693,Freddie_
,12.0,0.021617337104357693,StormEl3mental
,12.0,0.021617337104357693,_ChoicE
,12.0,0.021617337104357693,cibocib0
,12.0,0.021617337104357693,abakarir_
,12.0,0.021617337104357693,17XL
,12.0,0.021617337104357693,FishStyx217
,12.0,0.021617337104357693,Silver_archer_14
,12.0,0.021617337104357693,ParadoxVanish
,12.0,0.021617337104357693,Master981
,12.0,0.021617337104357693,vepticc
,12.0,0.021617337104357693,NoSuchFieldError
,12.0,0.021617337104357693,Endhog
,12.0,0.021617337104357693,GrandPriest
,12.0,0.021617337104357693,XLNuggets
,12.0,0.021617337104357693,9_1_1_
,12.0,0.021617337104357693,AleRfu
,12.0,0.021617337104357693,Rickertttt
,12.0,0.021617337104357693,veggydip
,12.0,0.021617337104357693,Abyssal_Kro
,12.0,0.021617337104357693,sr_ACS
,12.0,0.021617337104357693,Rimgal2005
,11.0,0.01981589234566122,Wireboi
,11.0,0.01981589234566122,oodim
,11.0,0.01981589234566122,TheInternetLoser
,11.0,0.01981589234566122,FrenB
,11.0,0.01981589234566122,Ragnok53
,11.0,0.01981589234566122,tazed656
,11.0,0.01981589234566122,MrMcyeet
,11.0,0.01981589234566122,iiiStrafe
,11.0,0.01981589234566122,itsme2417
,11.0,0.01981589234566122,Daisjun
,11.0,0.01981589234566122,Boxeyy
,11.0,0.01981589234566122,AstolfoBae
,11.0,0.01981589234566122,Lucas7706
,11.0,0.01981589234566122,4Cent_Garbage
,11.0,0.01981589234566122,BigBuppa
,11.0,0.01981589234566122,TraphouseCorndog
,11.0,0.01981589234566122,jokker122
,11.0,0.01981589234566122,BpersonW
,11.0,0.01981589234566122,ChairmanWide
,11.0,0.01981589234566122,NESmp3
,11.0,0.01981589234566122,zanasLTU
,11.0,0.01981589234566122,ORANGE_HOODE
,11.0,0.01981589234566122,saejii
,11.0,0.01981589234566122,Ovechkin_
,11.0,0.01981589234566122,kai66684
,11.0,0.01981589234566122,BarrenDomeSex
,11.0,0.01981589234566122,Natural_Spring
,11.0,0.01981589234566122,Baishon_man
,11.0,0.01981589234566122,dirtyblackkids
,11.0,0.01981589234566122,Skellator04
,11.0,0.01981589234566122,whasp
,11.0,0.01981589234566122,uizx
,11.0,0.01981589234566122,zzlolzzxD
,11.0,0.01981589234566122,GhostlyLemon
,11.0,0.01981589234566122,SaladAirplane71
,11.0,0.01981589234566122,WaxPoetic
,11.0,0.01981589234566122,sleftookslef
,11.0,0.01981589234566122,Its_Pikachu
,11.0,0.01981589234566122,Raiiding
,11.0,0.01981589234566122,Projacti
,11.0,0.01981589234566122,KocarCze
,10.0,0.018014447586964747,Dopeness
,10.0,0.018014447586964747,MarQ7
,10.0,0.018014447586964747,MrKreptic
,10.0,0.018014447586964747,metin2ro
,10.0,0.018014447586964747,Daboju
,10.0,0.018014447586964747,Snowuu
,10.0,0.018014447586964747,Last_Templar
,10.0,0.018014447586964747,Flash110311
,10.0,0.018014447586964747,CutieCookieMC
,10.0,0.018014447586964747,DBlockEurope
,10.0,0.018014447586964747,HitMeMuffins
,10.0,0.018014447586964747,ColdIsFreezing
,10.0,0.018014447586964747,TheRealSNA
,10.0,0.018014447586964747,Nic9453gaming
,10.0,0.018014447586964747,indieaustin
,10.0,0.018014447586964747,BenHall96
,10.0,0.018014447586964747,JellyBellyPetRat
,10.0,0.018014447586964747,MrMenopause
,10.0,0.018014447586964747,xhayper
,10.0,0.018014447586964747,NFo
,10.0,0.018014447586964747,PotPlease
,10.0,0.018014447586964747,greenfroggy425
,10.0,0.018014447586964747,5N5N
,10.0,0.018014447586964747,badpiggies007
,10.0,0.018014447586964747,Alusim
,10.0,0.018014447586964747,AnarkyBOT
,10.0,0.018014447586964747,TardisFlight
,10.0,0.018014447586964747,2b2tHistorian
,10.0,0.018014447586964747,RongSpelledWrong
,10.0,0.018014447586964747,Bt__
,10.0,0.018014447586964747,Clownman
,10.0,0.018014447586964747,Popcwrn
,10.0,0.018014447586964747,MinisterOJustice
,10.0,0.018014447586964747,d_e_a_f
,10.0,0.018014447586964747,Corriisabamf
,10.0,0.018014447586964747,Dubzlinger
,10.0,0.018014447586964747,AUGYLES
,10.0,0.018014447586964747,worst_
,10.0,0.018014447586964747,_eXampL
,10.0,0.018014447586964747,Jeen88
,10.0,0.018014447586964747,sparkybooman27
,10.0,0.018014447586964747,GenerationM3lon
,10.0,0.018014447586964747,Jamie_Jim_Bob
,10.0,0.018014447586964747,Enrow
,10.0,0.018014447586964747,LegitofZelda
,10.0,0.018014447586964747,Author15069
,10.0,0.018014447586964747,xRobloxGod69x
,10.0,0.018014447586964747,alexero007
,10.0,0.018014447586964747,walruswafer
,9.0,0.01621300282826827,Flynnhenderson
,9.0,0.01621300282826827,prorcsean
,9.0,0.01621300282826827,skyny22
,9.0,0.01621300282826827,Deilek
,9.0,0.01621300282826827,Lachflesch
,9.0,0.01621300282826827,thisarobbry
,9.0,0.01621300282826827,StealthGang
,9.0,0.01621300282826827,JaegaMeister
,9.0,0.01621300282826827,MelooC
,9.0,0.01621300282826827,zonka_bonka
,9.0,0.01621300282826827,AlphaWolfFurry
,9.0,0.01621300282826827,Darkll_
,9.0,0.01621300282826827,PyRoLoBsTeR
,9.0,0.01621300282826827,Polarizer
,9.0,0.01621300282826827,Wyvern__
,9.0,0.01621300282826827,ShadowGirl379
,9.0,0.01621300282826827,jackdel11
,9.0,0.01621300282826827,Mrkiller663
,9.0,0.01621300282826827,Portal_Trap
,9.0,0.01621300282826827,MuzzyCerdo
,9.0,0.01621300282826827,h_For_hi
,9.0,0.01621300282826827,qslrocket
,9.0,0.01621300282826827,snoh666
,9.0,0.01621300282826827,Mcowo
,9.0,0.01621300282826827,SummerStopTooHot
,9.0,0.01621300282826827,facecrack
,9.0,0.01621300282826827,FaxMachine5781
,9.0,0.01621300282826827,Ynonne
,9.0,0.01621300282826827,Gareth_Owen
,9.0,0.01621300282826827,THICCpizzaroll
,9.0,0.01621300282826827,jack93885
,9.0,0.01621300282826827,w0ww
,9.0,0.01621300282826827,3666
,9.0,0.01621300282826827,eyelll
,9.0,0.01621300282826827,Enver_Pasa
,9.0,0.01621300282826827,Jonathan6D
,9.0,0.01621300282826827,oscar_dot_exe
