Y,Perc
120.0,8.259474972566895
63.0,7.814214569089222
64.0,7.453363720773192
121.0,3.20123237950536
65.0,2.99231873048029
67.0,2.711656959567823
70.0,2.627247404406179
68.0,2.557609521397822
62.0,2.4879716383894657
71.0,2.3845699333164516
69.0,2.331813961340424
66.0,2.068034101460285
5.0,1.947750485354942
4.0,1.8971047522579558
61.0,1.8464590191609689
72.0,1.7704904195154894
119.0,1.5911201147969949
73.0,1.2872457162150754
74.0,1.278804760698911
256.0,1.2281590276019245
79.0,1.099434455980417
59.0,1.0888832615852115
60.0,1.0276863340930193
3.0,0.9728201232379505
75.0,0.8546467460116485
115.0,0.8483160293745252
76.0,0.8145522073098675
80.0,0.7617962353338398
2.0,0.7596859964547986
78.0,0.7090402633578121
58.0,0.6837173968093189
81.0,0.6562842913817845
77.0,0.5803156917363045
56.0,0.531780197518359
6.0,0.5254494808812358
118.0,0.5191187642441124
83.0,0.4642525533890436
84.0,0.4642525533890436
89.0,0.4452604034776737
117.0,0.43681944796150923
86.0,0.41993753692918034
88.0,0.4093863425339748
85.0,0.4093863425339748
96.0,0.3967249092597282
7.0,0.3967249092597282
54.0,0.3798429982273993
82.0,0.37562252046931716
93.0,0.3714020427112349
106.0,0.35663037055794716
87.0,0.35029965392082385
105.0,0.34185869840465943
53.0,0.33552798176753607
257.0,0.32919726513041275
125.0,0.32919726513041275
52.0,0.32497678737233054
91.0,0.3123153540980839
182.0,0.3102051152190428
122.0,0.3102051152190428
95.0,0.30809487634000166
57.0,0.3017641597028784
103.0,0.2912129653076728
11.0,0.2848822486705495
55.0,0.27433105427534393
108.0,0.2722208153963029
114.0,0.2722208153963029
97.0,0.2722208153963029
47.0,0.2680003376382206
116.0,0.2658900987591795
51.0,0.2637798598801384
100.0,0.255338904363974
111.0,0.255338904363974
45.0,0.2532286654849329
109.0,0.2532286654849329
112.0,0.2511184266058918
90.0,0.24900818772685068
15.0,0.24478770996876845
10.0,0.24267747108972734
124.0,0.24056723221068627
40.0,0.24056723221068627
107.0,0.2215750822993163
102.0,0.2194648434202752
99.0,0.21735460454123406
43.0,0.21313412678315183
50.0,0.21102388790411075
92.0,0.20680341014602854
26.0,0.20680341014602854
37.0,0.2025829323879463
113.0,0.20047269350890523
35.0,0.20047269350890523
254.0,0.20047269350890523
8.0,0.196252215750823
44.0,0.196252215750823
33.0,0.196252215750823
38.0,0.1920317379927408
22.0,0.18992149911369965
253.0,0.18781126023465858
49.0,0.18359078247657634
29.0,0.17726006583945303
14.0,0.17514982696041193
46.0,0.1730395880813708
110.0,0.1730395880813708
137.0,0.17092934920232972
19.0,0.16459863256520638
23.0,0.16248839368616527
36.0,0.16037815480712417
101.0,0.15615767704904196
98.0,0.15404743817000083
21.0,0.14982696041191862
16.0,0.14771672153287752
94.0,0.1434962437747953
48.0,0.1413860048957542
154.0,0.1350552882586309
27.0,0.1350552882586309
42.0,0.13083481050054868
1.0,0.13083481050054868
24.0,0.13083481050054868
123.0,0.13083481050054868
9.0,0.12872457162150755
104.0,0.12450409386342534
39.0,0.12028361610534313
30.0,0.12028361610534313
13.0,0.1160631383472609
18.0,0.11184266058917869
145.0,0.11184266058917869
-11.0,0.11184266058917869
20.0,0.11184266058917869
