,name,afk_time,perc
0,The_Penguin,1074230235.0,2.253715913929932
1,Fetopia,492909658.0,1.034115689700691
2,SunBraxel,385961581.0,0.8097405276116219
3,Raisin_Dan,376942738.0,0.7908191555145726
4,BlazeSlayer01,362469733.0,0.7604550486144467
5,schmu00,345627128.0,0.7251195630883519
6,facecrack,342806150.0,0.719201201451988
7,Slendeer_Games,339300710.0,0.711846850721647
8,DaeconUwU,304332442.0,0.6384840468212646
9,mruczek,295999581.0,0.6210018527511394
10,Khyta,279292304.0,0.5859502829604832
11,SwagGyONion,277490645.0,0.5821704344443268
12,SanderJohan,261742045.0,0.5491301519371817
13,dinosaurwizard,250149219.0,0.524808609317763
14,YaBoiHelix,242338188.0,0.5084212053001316
15,Tonylonely,229052250.0,0.48054754383864207
16,nathanreed,222783264.0,0.4673953227857651
17,Relbu,219414863.0,0.4603284774384104
18,seshftp,218139228.0,0.4576522179121032
19,Liraxxx,215624814.0,0.4523770220915273
20,Dopeness,214858961.0,0.4507702761281436
21,Darkeside,214542235.0,0.45010579061721834
22,Sekiro69,209265081.0,0.4390344154477613
23,hennick01,206075521.0,0.4323427753354027
24,Clownman,203990120.0,0.42796764115327335
25,monkeybro12,203779595.0,0.42752596345018756
26,ImJohne,200917156.0,0.4215206173737445
27,TOONZz93,198534773.0,0.41652242024128705
28,BlackAsNight,197880500.0,0.41514976713200774
29,SpaceCowX,192443981.0,0.4037440470289215
30,tesla07,190328817.0,0.3993064706025127
31,KomyetaWyvern,187838974.0,0.3940828243026233
32,Neroga,187459410.0,0.3932865057860858
33,Infinite_Rage,185332600.0,0.3888244962589519
34,A_CraftyPanda,185326028.0,0.38881070831992004
35,checkmate007,179366414.0,0.37630754421685453
36,MoaFiuccia,177268189.0,0.3719055055109661
37,BrickBinder,171878440.0,0.3605979080354697
38,Jamie_Jim_Bob,170331710.0,0.35735289602409875
39,__Apk__,169343284.0,0.355279195868059
40,FilthyCasual268,168084501.0,0.3526382915378206
41,ScoutAviation,167148178.0,0.3506739025484541
42,ChubbyJakey,164363316.0,0.34483131163729924
43,GolomeAlt,158740447.0,0.3330346325508618
44,PasqualeGallo,157002793.0,0.3293890653855474
45,KP0C,151932908.0,0.31875253688912625
46,Kim_Jong_Nig,151087334.0,0.3169785376866132
47,ChillyDogs,150685265.0,0.31613500408061873
48,whiteBOIIreppin,149102881.0,0.312815190611816
